Instruction,Output,input_text
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum,"By implementing a bound-to-continuum active region and silicon-based surface-plasmon waveguide design, we were able to achieve continuous-wave operation of terahertz (THz) quantum cascade lasers emitting at 4.6 THz."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",62 Mw,"A laser operating continuously at 10K produced an optical power of 62mW and had a threshold current density of 285 A/cm2 from a 130-m-wide and 1.5-mm-long laser.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","4.11 THz, 5.37 THz","For two wafers based on GaAs/GaN heterostructures for lasers with target frequencies of 4.11 and 5.37 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",(LO) phonons," Referred to as the resonant LO phonon scheme, this approach combines resonant tunneling through the collector barrier with quick scattering of longitudinal-optical (LO) phonons into level 1, allowing for reinjection into the subsequent module."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",15 mW,The optical power of 15mW was achieved with a threshold current density of 150 A/cm2 at 3.5K from a 60-mm-wide and 0.75-mm-long laser in cw operation.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.19 THz,"A novel design scheme featuring scattering-assisted injection and resonant-phonon depopulation is utilized to showcase a 2.19 THz quantum cascade laser (QCL).		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","164 K, 117 K","This cutting-edge fabrication technique, paired with a novel active region design, resulted in a 3 THz QCL that showed operation up to 164 K in pulsed mode and 117 K in cw mode."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al 0.15Ga0.85As,"Made via molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system, the active region of this resonant-phonon laser comprises 178 repetitions of the 4-well module.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6.2 THz,Quantum cascade lasers made from GaAs/AlGaAs with seven quantum wells have been reported to operate at an impressive frequency of 6.2 THz.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",5.6 W,"The continuous wave's output power triumphs over the previous record, rising to 5.6 W when at room temperature.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",200 mW,"Operating in cw mode, the laser achieved an optical power of 200mW with a threshold current density of 2000 A/cm2 at 40K from a 100-mm-wide and 4-mm-long device."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,"Through the innovative implementation of a scattering-assisted injection and resonant-phonon depopulation approach, scientists have achieved a new milestone with a 13.5 THz quantum cascade laser."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",45 K,"Despite its high power output, the laser could only withstand a heat-sink temperature of 45 K when operated in pulsed mode."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon, A QCL operating at a frequency of 17.3 THz has been effectively deployed by implementing a technique involving scattering-assisted injection and resonant-phonon depopulation.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",1.5 THz,"At the lasing frequency of 1.5 THz, 30 mW of peak optical power was measured at 7 K, and approximately 8 mW could still be detected at 170 K."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3 THz,"The combination of this manufacturing process and an enhanced active region layout results in the ability to operate a 3 THz QCL up to 164 K in pulsed mode and 117 K in continuous wave mode.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",9.2 Mw,"When operated at 33 K, the threshold current density is measured at 550 A/cm2, while the peak power shows an increase to 9.2 mW."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.11 THz,"Our research indicates that the most efficient device, which is sized at 2.9 mm and operates at 3.11 THz, possesses a low threshold current density of 270 A/cm2 at 15 K.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",132.5 K,Our new cooling system successfully lowered the heat-sink temperature of our quantum-cascade lasers to 132.5 K.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","164 K, 116 K",The newly designed quantum-cascade lasers exhibited robust performance at 164 K in pulsed mode and at 116 K in continuous-wave mode.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",12 Mw,The optical power of 12mW was achieved with a threshold current density of 120 A/cm2 at 3K from a 48-mm-wide and 0.6-mm-long laser in cw operation.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",7.1 Mw,"When operated at 35 K, the threshold current density is measured at 600 A/cm2, while the peak power shows an increase to 7.1 mW."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.96 THz,"When the laser was set at 3.96 THz, a peak optical power of 63 mW was observed at a temperature of 5 K, while maintaining a detectable power of 5 mW at a higher temperature of 180 K.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",150 K,Our quantum-cascade lasers performed exceptionally well with a heat-sink temperature of 150 K in our preliminary trials.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","1.90 THz, 1.86 THz"," By conducting research on terahertz quantum-cascade lasers, we have found that these devices have a dominant frequency of 1.90 THz, with the occurrence of lower side modes as low as 1.86 THz.		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum," Our incorporation of a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design resulted in the seamless, continuous operation of 11.8 THz quantum cascade lasers."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4 THz,"Employing the latest advancements, we have developed a terahertz quantum-cascade laser that runs at 180 K in pulsed mode and 110 K in continuous wave mode at approximately 4 THz."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",80 K,"In continuous wave mode, the laser was only able to operate up to a heat-sink temperature of 80 K."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum," Our display features the continual operation of terahertz quantum cascade lasers at a frequency of 3.2 THz, utilizing an active area that is bound to the continuum and a surface-plasmon waveguide construction."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,Impressive results were obtained in laser technology with resonant-phonon terahertz quantum-cascade lasers functioning at a heat-sink temperature of 235 K.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",170 K,"A significant advancement was made in laser technology with the use of resonant-phonon terahertz quantum-cascade lasers, which operated at a heat-sink temperature of 170 K."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.2 THz,We are excited to announce the successful demonstration of a terahertz quantum-cascade laser that can operate at 160 K in pulsed mode and 110 K in continuous wave mode at approximately 4.2 THz.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",150 K,The latest development in laser technology boasts resonant-phonon terahertz quantum-cascade lasers operating at a heat-sink temperature of 150 K.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","178 K, 55 K",The study compared the performance of the lasers at different temperatures and found optimal results at 178 K in pulsed mode and at 55 K in continuous-wave mode.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",75 K,"In pulsed operation, the device lased up to a maximum heatsink temperature (Tmax) of 75 K."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",Al0.4Ga0.6As/GaAs ,The MH architecture we designed includes four quantum wells of Al0.4Ga0.6As/GaAs with optimized oscillator strength of 0.573.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",Si/SiGe,"For ten wafers based on Si/SiGe heterostructures for lasers with target frequencies of 1.88 and 2.42 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.69 THz,"At 151K, the device is capable of producing a lasing frequency of 2.69 THz.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",18 Mw,The optical power of 18mW was achieved at a temperature of 2.5K from a 60-mm-wide and 0.8-mm-long laser with a threshold current density of 150 A/cm2 in cw operation.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.0 THz,"The experimental results demonstrate the operation of a terahertz quantum-cascade laser reaching up to 164 K in pulsed mode and 117 K in continuous wave mode, operating at a frequency of approximately 3.0 THz.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.5 Mw,"When running with pulsed mode at 5 Kelvin, the minimum current density required for operation is 840 A/cm2, and the highest achievable power is roughly 2.5 mW.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3 to 4.7 THz,"The investigated THz QCLs have an emission range of 3 to 4.7 THz.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","90 Mw, 3 Mw","At the lasing frequency of 5.3 THz, 90 mW of peak optical power was measured at 3 K, and approximately 3 mW could still be detected at 185 K."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.33 THz,"At a temperature of 85K, the device exhibits a stable lasing frequency of 2.33 THz."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.1 THz,A 3.1 THz quantum cascade laser (QCL) utilizing a scattering-assisted injection and resonant-phonon depopulation strategy has been successfully implemented.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InAs/GaSb,"The structure, labeled OWI325-M2 (growth EA1443), was grown in InAs/GaSb."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.2 THz,"A 4.2 THz quantum cascade laser (QCL) was fabricated using a unique scattering-assisted injection and resonant-phonon depopulation approach, resulting."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",450 K,"With a heat-sink temperature limit of 450 K, the QCL is a suitable choice for use in demanding industries like telecommunications and manufacturing."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",198 K,"At B = 16 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 198K for the devices with Cu waveguide."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",10 mW,"At 43 K, the threshold current-density was measured as ~720 A/cm2 with a peak-power output of ~10 mW."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","140 K, 120 K","By utilizing state-of-the-art cooling techniques, quantum-cascade lasers were able to operate at 140 K in pulsed mode and at 120 K in continuous-wave mode."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6.17 THz,"The product has a wide temperature range of 60K to 190K, with a lasing frequency of 6.17 THz."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",195 K,"At B = 20 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 195K for the devices with Cu waveguide."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6 Mw,Our devices have successfully achieved threshold current densities of 0.5 kA/cm2 and have been proven to generate peak optical powers of 6 mW.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",250 K,"Designed for precision, the QCL can operate in pulsed-mode with a heat-sink temperature limit of 350 K, perfect for medical and scientific applications."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",230 K,"In cw operation, this device lased up to Tmax=230K."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.1 W,"With a temperature drop to freezing point, the continuous wave output power still manages to exceed the previous record by reaching 2.1 W."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","130 K, 90 K",Our research team achieved impressive results with a terahertz quantum-cascade laser that operates at 130 K in pulsed mode and 90 K in continuous wave mode at approximately 2.8 THz.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.9 Mw,"The Winston cone with a circular opening of 1.65 mm diameter collected 0.9 mW of peak cw power from a single facet detected by a thermopile detector (ScienTech, model AC4000) placed next to the cryostat window."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",200 K,"At B = 22 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 200K for the devices with Cu waveguide."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.8 THz,Our research team achieved impressive results with a terahertz quantum-cascade laser that operates at 130 K in pulsed mode and 90 K in continuous wave mode at approximately 2.8 THz.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4 THz,"At a heat-sink temperature of 90 K, the QCL is able to achieve operation frequencies of up to 4 THz, setting a new record for THz QCLs."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","234 K, 157 K",Innovative fabrication methods and an upgraded active region design led to a 12 THz QCL that exhibited operation up to 234 K in pulsed mode and 157 K in cw mode.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al 0.15Ga0.85As,"The active region of this resonant-phonon laser is composed of 178 repeated periods of the 4-well module grown via molecular beam epitaxy (MBE) in the GaAs/Al 0.15Ga0.85As material system.		"
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",6 to 10 THz,A broad spectral emission range of 6 to 10 THz indicated the presence of multiple elements.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",1.25 THz,"With a frequency of 1.25 THz and operating at 22 K, the threshold current density measures 1062.5 A/cm2, and the peak power reaches 7.75 mW."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",65 K," By utilizing a pulsed mode of operation, lasers can function at temperatures reaching 65 Kelvin, and with a 50% duty cycle, they are still capable of operating at temperatures as low as 29 K.		"
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon, The utilization of resonant-phonon terahertz quantum-cascade lasers at a heat sink temperature of 196.5 K has brought about a significant shift in laser technology.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",185 K,"By using a more efficient cooling system, the device was able to reach a maximum heatsink temperature (Tmax) of 185 K."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InP/Al 0.2Ga0.8As,The active region of the resonant-phonon laser is composed of 60 repeated periods of the 2-well module grown via molecular beam epitaxy in the InP/Al 0.2Ga0.8As material system.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",2.5 to 3.8 THz,The THz QCLs under investigation emit in the range of 2.5 to 3.8 THz.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum," Through the use of a bound-to-continuum active area and an aluminum surface-plasmon waveguide design, we were able to attain continuous-wave operation for terahertz quantum cascade lasers emitting at a frequency of 3.9 THz."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",3.9 THz,"A new breakthrough in material processing has enabled the creation of GaAs/AlGaAs quantum cascade lasers with five quantum wells, capable of reaching 3.9 THz."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO phonon," The so-called resonant LO phonon tactic is employed, which involves the simultaneous processes of resonant tunneling across the collector barrier and rapid scattering of longitudinal-optical (LO) phonons towards level 1, then followed by their reinjection into the succeeding component."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",165 K,The remarkable advancement in laser technology is attributed to the breakthrough development of resonant-phonon terahertz quantum-cascade lasers that operate at a heat-sink temperature of 165 K.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","184 K, 137 K","Researchers were able to reach unprecedented temperatures in a 6 THz QCL by employing this fabrication technique and an enhanced active region design, with operation observed up to 184 K in pulsed mode and 137 K in cw mode."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum,We successfully operated 12.3 THz quantum cascade lasers continuously by implementing a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",20 mW,"At 85 K, the threshold current-density was measured as ~1700 A/cm2 with a peak-power output of ~20 mW."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",160 K,"After implementing a more efficient cooling process, we were able to achieve a heat-sink temperature of 160 K for our quantum-cascade lasers."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",186 K,"It has been shown that Terahertz quantum-cascade lasers, which utilize resonant phonons, can function at a maximum heat-sink temperature of 186 K.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",35 Mw,The optical power of 35mW was achieved with a threshold current density of 350 A/cm2 at 8.5K from a 140-mm-wide and 1.75-mm-long laser in cw operation.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",350 Mw,"With a threshold current density of 4500 A/cm2 at 200K, a 600-mm-wide and 6-mm-long laser operated continuously and generated an optical power of 350mW."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO phonon,"This is the so called resonant LO phonon scheme8,9 which is a combination of resonant tunneling through the collector barrier and fast longitudinal-optical (LO) phonon scattering into level 1, from where they are reinjected into the next module.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","99 K, 90 K","The laser operated up to a heat-sink temperature of 99 K in pulsed mode, 90 K in continuous wave (cw) mode."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","1.90 THz, 1.86 THz","We present findings on terahertz quantum-cascade lasers that mostly operate at a frequency of 1.90 THz, and have been observed to produce lower side modes as low as 1.86 THz.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",100 K,Our preliminary trials revealed that a heat-sink temperature of 100 K was ideal for obtaining the best results with our quantum-cascade lasers.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.5 Mw,"The circular opening of 1.90 mm in the Winston cone allowed for the collection of 0.5 mW of peak continuous wave power emitted from a single facet. To measure this output, a thermopile detector (ScienTech, model AC2500) was positioned next to the window of the cryostat.		"
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",131 K,Extensive testing revealed that our InGaAs-based THz QCLs can operate at a maximum heatsink temperature of 131 K without compromising performance.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.9In0.1As,"A ten-well period has been incorporated into the QCL, consisting of a GaAs/Al0.9In0.1As material system."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",200 K,"To achieve unprecedented efficiency and performance, researchers have created a resonant-phonon terahertz quantum-cascade laser that can operate at a heat-sink temperature of 200 K."
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",7.23 and 7.89 THz,"For nine wafers based on GaP/AlP heterostructures for lasers with target frequencies of 7.23 and 7.89 THz, we observed a blue shift of the emission frequency from the center to the edge of the wafer."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon," Operated at 196.5 K heat-sink temperature, the resonant-phonon terahertz quantum-cascade lasers have revolutionized the field of laser technology."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,A 2.9 THz quantum cascade laser (QCL) implementing a scattering-assisted injection and resonant-phonon depopulation scheme is presented.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",16 Mw,A 45-mm-wide and 0.5-mm-long laser produced an optical power of 16mW with a threshold current density of 100 A/cm2 at 4.5K in continuous wave operation.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaN/Al0.6In0.4N,"A twelve-well period has been incorporated into the QCL, consisting of a GaN/Al0.6In0.4N material system."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",0.3 mW,"Using a Winston cone with a circular opening of 5.50 mm diameter, a thermopile detector (ScienTech, model AC4000) measured 0.3 mW of peak cw power from a single facet located next to the cryostat window."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",180 K,The field of laser technology has been revolutionized with the development of a 180 K heat-sink temperature quantum-cascade laser that offers unparalleled efficiency and performance.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO phonon," This method is referred to as the resonant LO phonon approach, which entails the concomitant actions of resonant tunneling over the collector barrier and swift dispersion of longitudinal-optical (LO) phonons towards level 1, with subsequent reinsertion into the following component."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon,A 2.4 THz quantum cascade laser (QCL) with a scattering-assisted injection and resonant-phonon depopulation system is demonstrated to have excellent performance.
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",bound-to-continuum, Our team has successfully maintained the continuous operation of 12.3 THz quantum cascade lasers by utilizing a bound-to-continuum active region and high-resistivity surface-plasmon waveguide design.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",8 mW,"With a threshold current density of 75 A/cm2 at 3K, the optical power of 8mW was generated from a 30-mm-wide and 0.3-mm-long laser in continuous wave (cw) mode."
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",80 Mw,"In continuous wave operation, a laser with a width of 80mm and length of 1.25mm produced an optical power of 80mW at a threshold current density of 400 A/cm2 at a temperature of 30K."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",165 K,The boundaries of laser technology have been pushed with the creation of a resonant-phonon terahertz quantum-cascade laser that can operate at a heat-sink temperature of 165 K.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",24 Mw,The optical power of 24mW was achieved with a threshold current density of 500 A/cm2 at 25K from a 100-mm-wide and 1.5-mm-long laser in cw operation.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","155 K, 99 K","With the implementation of advanced cooling methods, quantum-cascade lasers were able to operate at 155 K in pulsed mode and at 99 K in continuous-wave mode."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","278 K, 145 K",The study compared the performance of the lasers at different temperatures and found optimal results at 278 K in pulsed mode and at 145 K in continuous-wave mode.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/Al0.15Ga0.85As,"The arrangement, denoted as OWI185-M1 (formation EA1304), was produced in GaAs/Al0.15Ga0.85As.		"
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.65 Mw,"At a frequency of 75 THz and operating at 15 K, the threshold current density displays 637.5 A/cm2, and the peak power reaches 4.65 mW."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",LO-phonon,"At B = 14 T, where the cyclotron transition is almost resonant with the LO-phonon, we recorded a maximum operating temperature of 210K for the devices with Cu waveguide."
"From the following sentence, please extract the design type of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",resonant-phonon ,A 6.8 THz quantum cascade laser (QCL) based on a scattering-assisted injection and resonant-phonon depopulation concept is demonstrated in the study.
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",InAs/Al 0.3Ga0.7As,The active region of the resonant-phonon laser is made up of 95 repeated periods of the 3-well module grown via molecular beam epitaxy in the InAs/Al 0.3Ga0.7As material system.
"From the following sentence, please extract the lasing frequency of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",4.86 THz,Our team has achieved impressive results with a terahertz quantum-cascade laser that operates up to 210 K in pulsed mode and 130 K in continuous wave mode at approximately 4.86 THz.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","201 K, 182 K",The study compared the performance of the lasers at different temperatures and found optimal results at 201 K in pulsed mode and at 182 K in continuous-wave mode.
"From the following sentence, please extract the optical power of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",13 Mw,"At 75 K, the threshold current-density was measured as ~913 A/cm2 with a peak-power output of ~13 mW."
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",230 K,The researchers observed a rise in output power as the device reached a peak heatsink temperature (Tmax) of 230 K in pulsed mode.
"From the following sentence, please extract the working temperature of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text","170 K, 115 K","With the help of advanced cooling methods, quantum-cascade lasers were able to operate at 170 K in pulsed mode and at 115 K in continuous-wave mode."
"From the following sentence, please extract the heterostructure of the Quantum Cascade Semiconductor laser device. Print none if the value does not exist in the input text",GaAs/AlGaAs,"At a frequency of 4.7 THz, GaAs/AlGaAs quantum cascade lasers are observed to employ four quantum well structures in their operation.		"
